Title,Aid,View,Danmaku,Reply,Favorite,Coin,Share,Like,Dislike,Pts
【龙须笋】嫩生生的笋子正值最好吃的时候，拔一背篓都不嫌多,52332887,291639,2981,1940,2721,12682,795,23308,0,254195
吃多少酒精巧克力可以吃断片？小伙最后吃懵逼了都,52137415,324768,2444,1409,1798,4877,188,16728,0,254154
【特效向】复 仇 者 鲲 鲲,52177348,211582,802,376,7177,14713,3068,18220,0,252741
【2019MSI全集】更新至190512 IG vs G2 vs FW vs SKT Faker,52074292,314098,6681,332,1717,488,225,2253,0,249761
每月生活费仅800元 观众却喷我是富二代！大学期间怎么兼职去旅行？,52201551,273701,1332,1305,3404,7486,301,15543,0,247671
用抖音的方式打开桥本环奈的颜艺视频会怎样？,52140098,269186,1213,461,4412,5783,617,8456,0,246650
地图超广的荒野射击游戏 400000000平方米相当于两个成都三环,52065721,299954,1685,570,2790,6428,168,10490,0,244602
【电竞人物志】卢氏 （上）,52150597,209137,1452,1395,5356,10043,378,12066,0,242589
被喷到下架整改，上线后用质量说话，浪子回头金不换的逆袭动画,52056924,316328,901,939,2050,1037,98,5789,0,238391
【SCP不敢养系列】SCP-075 腐蚀性蜗牛  王水在它面前就是弟弟,52077994,272125,545,756,3198,4471,115,10324,0,236309
【彩铅手绘】怎样画金属质感，钢铁侠mark2,52091970,141552,1673,917,8675,12465,1154,13142,0,235866
监控下的汶川大地震（汶川大地震十一周年）,52192993,314037,2038,1279,1372,530,275,1745,0,235560
淘宝上同款不同价的衣服有没有差别？？40、80、200元的同款一样吗,52144686,311058,735,899,1700,1446,297,4145,0,234065
给路边小姐姐拍照，狂追300米！！结果。。,52141766,260665,5835,1964,1926,4469,207,18684,0,230805
笑死我了，家长在家长群爆粗,52075868,274907,282,2044,1906,819,1509,2500,0,227512
你以为查理九世抄袭？不存在的！【查理九世编年史#3】,52045578,140057,1880,2211,6784,8991,364,13480,0,226636
辅导孩子学习，你与心脏搭桥只差一本作业的距离！,52092388,216388,6634,3256,2564,9869,3183,18376,0,224402
【你为什么总是减脂失败?!】新手常犯的7个错误!(新手必看).3个月减35斤的经验总结.,52200838,146636,966,1889,7142,8643,832,7932,0,223538
【vlog】小伙伴们好，我是郭乐乐的姐姐,52197689,301863,1333,1385,1077,1569,210,7419,0,221428
【搞笑】日本5岁女孩教科书般的撩汉技能！！！各种套路玩得炉火纯青，最后分手也是干脆利落，真的瑞思拜,51989854,191074,1679,457,5988,1006,4039,4985,0,221193
香港约会好甜蜜 互相给对方买衣服,52150082,264670,7148,1179,2161,5290,152,16283,0,220970
小狐狸是怎么叫的呢？kemomimi酱居然开口说话！#2,52143806,155318,609,500,7350,11184,493,11747,0,220170
【大仙全家桶】干了这碗毒鸡汤，总分还能再高10分！,52104819,187253,4679,1656,4415,11000,385,17961,0,219146
这碗真的有荔枝的【荔枝肉】，散发着自由的气息~,52128861,198016,971,744,4759,4958,482,13274,0,218790
【全网首发】吴亦凡《大碗宽面》现场版,52350271,137001,4227,1600,5833,8113,2298,10783,0,217251
独居少女一秒变巨婴！女生一个人住VS和父母一起住，学生党第一次独自生活是什么感觉？,52129424,262144,2697,977,1708,4228,322,14724,0,211051
大学室友4年看了20遍的《神话》里，素素为何活不过八集？,52336324,227452,1748,1646,3301,6156,546,8744,0,208062
虽患有自闭症，却是个音乐奇才！名气整个日本都没人不知道！,52145835,217928,752,733,3590,1813,165,6904,0,208023
【该细还得细】FGO国服《星之三藏亲远赴天竺复刻版》西游攻略,52233213,68516,1330,8012,5434,11829,592,9445,0,206785
【XJ】大侦探皮卡丘 粤语配音,52133605,206264,529,531,4181,5845,4241,7695,0,206532
男孩书店高声读书被劝阻，大骂服务员：我抽你信不信！,52119674,255427,1172,2966,592,408,176,5155,0,204500
极限意识流的华丽演出！鬼泣5观赏向乱入M19最高难度Nero VS Vergil,52122158,108659,511,530,7702,11234,1082,8662,0,204377
【文豪野犬/高燃】西装暴徒,52077861,66401,560,498,9963,7069,509,9348,0,203074
《复联4》百科：15个戴过无限手套的大佬，钢铁侠看完震惊了...,52040737,771498,3405,1520,4730,8083,820,23770,0,610409
女孩子的口水有什么用？这动画第一集就超神展开！妈妈问我为什么跪着看动画,52207497,526543,8382,3159,9448,16403,1676,33901,0,582123
前方高能！来自雨天的盛宴，极致画质的巅峰，请备好你的硬币,52211482,341726,678,1122,23200,18990,806,19665,0,567069
逐渐加快のM4,52064745,122099,781,577,12633,16575,991,12125,0,312769
这是我们 未曾经历的青春,52106692,89934,660,712,14952,14194,877,15888,0,294287
【前方高帅！FGO手书】永久冻土帝国：Master啊，这就是我的觉悟,52002229,175430,290,1679,7437,8394,346,9871,0,276695
即便摆出嫌弃讨厌的样子，我也非常喜欢！,52138705,211303,417,567,8278,8771,178,12352,0,271794
小狐狸是怎么叫的呢？kemomimi酱居然开口说话！#2,52143806,155318,609,500,7350,11184,493,11747,0,220170
【XJ】大侦探皮卡丘 粤语配音,52133605,206264,529,531,4181,5845,4241,7695,0,206532
【文豪野犬/高燃】西装暴徒,52077861,66401,560,498,9963,7069,509,9348,0,203074
当和女神互换身体 你会做什么？,52050495,162116,1255,935,3368,2731,248,7040,0,169552
JC连续崩坏，背后真凶竟然是它？【壁家讲坛sp01】,52035242,76579,1728,2158,3900,8926,579,7729,0,158334
那些开局就满级的牛逼主角，带你一次看个爽到不行嗷嗷嗷！,52153731,166287,874,350,2516,1180,72,4086,0,149797
求求你，不要离开我,52139511,127276,430,279,4233,2726,277,4239,0,149210
动画专业自制毕设《烬》,52151598,147179,305,540,2839,1636,84,4750,0,146214
由于喜欢小姐便吃了她身体的一半，剩下的被装裱在墙上，心里扭曲至极《剑风传奇》03,52130288,210191,126,361,1577,303,36,1179,0,143441
【布料解算/60FPS】丝滑质感旗袍miku给大家跳支舞—桃源恋歌（摄像师跑路系列）,52124046,73301,125,228,6031,1139,72,2729,0,140683
为什么要让我在人间受尽地狱之苦,52099409,69952,230,456,4546,2788,140,3458,0,119153
《进击的巨人》除了精良的制作，还剩下什么？,52052072,69135,806,1209,3485,6216,337,6652,0,116217
【无名个人混剪】行云流水一般地枪斗术表演,52153128,78676,245,345,3528,2449,286,4341,0,110965
世界末日后，只剩三男一女，如何重建人类文明？ 漫画《石纪元》,52081261,134747,168,450,1259,586,38,1947,0,108846
前方高能！BGM响起的那一刻，只为守护你,52071606,82531,468,277,3330,2484,132,4240,0,108660
【TOP10】 吹爆！评分最高的10部动画！第一期,52126985,46333,3560,314,4302,4192,59,4865,0,105557
【次元爆论】惨烈的剧透战争，你是哪个阵营？剖析剧透以及剧透行为（2-07）,52073619,62345,1442,958,2391,3977,103,6610,0,104665
男主终于切换大号，登录之后强的可怕  (盘点/战斗/热血),52061825,135645,299,85,1436,752,29,1211,0,104457
"用不同的方式演绎“皮卡丘""！前方高萌~",52149797,49829,170,294,4408,8505,555,9646,0,103629
香菜为何当声优？她是这样回答的~橙心社采访花泽香菜,52135786,93361,845,584,2110,1903,290,4627,0,102003
崩坏3萝莎莉娅＆莉莉娅动态壁纸,52097111,60056,96,284,3865,1660,265,2496,0,101173
弱音小公主，彰显优雅高贵气质~,52121762,21318,110,239,5350,2238,70,3735,0,98106
这颗卤蛋告诉了我什么是燃！聊聊热血漫里所谓的“燃”究竟是一种怎么样的感觉,52146773,74822,495,318,2252,5907,76,6074,0,86202
安装了５月病之后什么都不想干了,52275296,86263,816,467,1087,956,208,5723,0,83226
【Sei-MMD】世界是make(人造的)，这个亦是fake(虚构的)，「想要相信」这种信念，仍然存于你心中吗？（疑心暗鬼）,52093547,26979,378,327,3865,1498,212,3080,0,80442
【前方高能】让人百看不厌的动画名场景,52255701,70333,282,318,1947,1938,57,2359,0,77025
【月末台词放送】四月最后的场景台词【奥术魔刃】,52190210,46497,2184,494,2177,2705,161,4969,0,76703
【明日方舟】在首页唱歌的阿米娅,52127854,56704,127,458,2102,1639,453,2658,0,76189
年度最爆笑反派？！骨头展现隐藏实力？五等分结局重大进展！【新番猛料】,52288275,51172,881,218,2228,3596,70,5530,0,74497
【云看番】7分钟带你忘记 鬼灭之刃第1集,52083079,45001,718,284,2604,4459,257,4956,0,74421
弱音 - 勾指起誓,52254337,17169,175,238,3865,1769,41,3182,0,73409
鬼灭最美小姐姐登场！这个小姐姐她撩我！我恋爱了！我要嫁给她！【鬼灭之刃p4+5】,52086003,77416,674,350,992,2256,106,3476,0,71532
【崩3/C4D渲染】与你的相遇，就是神谕的旋律,52181355,27714,142,129,3349,875,65,1792,0,69658
【复联】名场面再现！九头臀万岁！,52276625,52135,101,95,2232,2863,224,4203,0,66563
【动画公司图鉴】比《白色相簿》还要胃疼十倍的冷门佳作！（MAPPA其二）,52087286,38703,431,327,1855,2573,41,3672,0,66463
直男误入oo佬公寓，竟在里面寻得真爱...,52150655,77857,214,233,1314,1664,50,2524,0,65612
【一拳超人】她居然比琦玉还要强？你敢信在一拳里居然也可以有白学和党争！,52058714,82340,369,152,707,977,273,2701,0,64129
前方高能！全世界都为之颤抖！视觉盛宴,52253963,28604,269,240,2856,2839,122,3268,0,63868
脸可以崩到亲妈都不认识，但卷心菜一定要画好，从卷心菜开始的作画原则,52126648,138467,137,235,494,263,22,1469,0,63556
【AI呦喂】如果B站UP主戴上无限手套会怎么样？（ver:5.11),52258700,37088,533,427,2042,2790,79,4965,0,63117
【第五人格MMD】【入殓师生贺】Conqueror【全皮】,52052128,14409,950,337,3133,1978,238,2856,0,61803
【聊天＋唱歌】【好久不见】近況报告和宣传！【神楽七奈】,52224216,43571,889,554,1596,1894,125,3533,0,61138
激战！魔王飨宴召开，利姆露VS米莉姆与克雷曼！ 【史莱姆故事】第十弹,52140827,46184,235,228,1883,3773,36,3793,0,61114
【弱音布料结算】看我的小裙裙,52104514,27880,95,138,2715,344,29,1207,0,60775
女主不牵手就会死？B站最沙雕狗粮战斗番,52150108,51592,329,220,1462,1281,36,3175,0,59323
史上最骚的面码,52322083,42268,370,335,1733,2342,120,3427,0,56881
【神乐七奈】表 情 包 人,52101918,48627,163,163,1325,656,196,1575,0,55272
